rank,name,elo,bestWin,bestWinElo,GCs
64,Hillside Singers / Pleasant Hill High School,1643,New Score Singers / Smith-Cotton High School,1563,1
65,Music Warehouse / Edgewood High School,1642,The Company / Piqua High School,1648,1
66,The Ambassadors / Prairie High School,1642,Visual Adrenaline / Ankeny High School,1993,1
67,Power Company / Waconia High School,1641,Vocalmotive / Bemidji High School,1759,2
68,City Lights / Rock Bridge High School,1636,Ultimate Image / Grand Island Senior High School,1603,1
69,10th Street Edition / Linn-Mar High School,1635,Riverside Company / Hastings High School,1862,0
70,Spotlight / Cosby High School,1632,Capital Swing / Manchester High School,1651,0
71,Classic Connection / DeKalb High School,1629,Minstrel Magic / Carroll High School,1691,1
72,Rhythm in Gold / Bloomington Kennedy High School,1625,Sound / Mundelein High School,1649,0
73,Class Royale / Homestead High School,1624,Minstrels / Bishop Luers High School,1580,1
74,Sound Vibrations / Hart High School,1622,Reveille / Madison Central High School,1583,0
75,Belles et Beaux / Plainfield High School,1621,The Company / Piqua High School,1648,1
76,Modulations / El Paso-Gridley High School,1617,Sudden Impact / Ottumwa High School,1486,1
77,Vocal Infusion / Anderson High School,1616,Classic Connection / DeKalb High School,1629,1
78,Dimensions / Dowling Catholic High School,1614,Classic Connection / Sioux Falls Washington High School,1664,1
79,Xhilaration / Xavier High School,1613,The Ambassadors / Prairie High School,1642,0
80,OnStage / John Hersey High School,1611,Center Stage / Preble High School,1594,0
81,21st Century Singers / Bayard Secondary School,1610,Harmony / Gering High School,1550,0
82,Sound Revolution / Norwalk High School,1604,Harmonia Mundi / Bishop Heelan Catholic School,1552,0
83,Ultimate Image / Grand Island Senior High School,1603,Titanium / Papillion-La Vista South High School,1669,1
84,Accents / Carmel High School,1601,CenterStage! / Albertville High School,1564,0
85,Center Stage / Preble High School,1594,Grand Central Station / La Crosse Central High School,1849,1
86,Express / Troy Buchanan High School,1593,Cavaliers / Crete-Monee High School,1563,0
87,Silver Connection / Monona Grove High School,1593,Spotlighters / Craig High School,1645,0
88,Central Sound / Lawrence Central High School,1589,Music Warehouse / Edgewood High School,1642,0
89,Masquerade / Brea Olinda High School,1584,N/A,-1,0
90,Knight Moves / Norwell High School,1584,Class Royale / Homestead High School,1624,0
91,Show Cards / Colerain High School,1583,Rhythm In Red / Cabell Midland High School,1730,1
92,Reveille / Madison Central High School,1583,Company / South Jones Jr/Sr High School,1655,1
93,Encores / Pike High School,1581,Counterpoints / North Central High School,1668,0
94,Minstrels / Bishop Luers High School,1580,Minstrel Magic / Carroll High School,1691,2
95,RAMification / Southeast Polk High School,1573,Ovation! / O'Gorman High School,1535,1
96,Gold Horizons / Northeast Jones Jr/Sr High School,1571,Orange Sensations / Wayne County High School,1458,0
97,Encore / Jackson Academy,1571,Reveillon / Jackson Preparatory School,1644,2
98,Choralation / Milton High School,1569,Modulations / El Paso-Gridley High School,1617,0
99,Infinity / Millard North High School,1568,Classic Connection / Sioux Falls Washington High School,1664,0
100,Music Unlimited / Waltham High School,1565,Panache / Oliver Ames High School,1971,0
101,CenterStage! / Albertville High School,1564,Varsity Singers / Auburn High School,1662,1
102,Cavaliers / Crete-Monee High School,1563,Great Expectations / O'Fallon Township High School,1451,1
103,New Score Singers / Smith-Cotton High School,1563,Soundwave / Carthage Senior High School,1505,0
104,Northside Establishment / Davenport North High School,1561,Modulations / El Paso-Gridley High School,1617,1
105,High Impact / Matoaca High School,1561,Spotlight / Cosby High School,1632,1
106,Knight Scene / Thomas Dale High School,1560,Spotlight / Cosby High School,1632,1
107,Splash / Etobicoke School of the Arts,1556,N/A,-1,0
108,Good Times / Martinsburg High School,1554,High Impact / Matoaca High School,1561,0
109,Central Singers Inc. / Davenport Central High School,1553,Xhilaration / Xavier High School,1613,0
110,Harmonia Mundi / Bishop Heelan Catholic School,1552,Impulse / Wahlert Catholic High School,1530,1
111,Harmony / Gering High School,1550,9th Street Singers / Chase County High School,1400,0
112,Tribe Show Choir / Keller High School,1550,The Bell System / L.D. Bell High School,1490,0
113,Evolution / American Leadership Academy,1548,Uptown Girls / Millard West High School,1367,0
114,River City Rhythm / Muscatine High School,1545,Swingsations / Mt. Zion High School,1697,1
115,Wexford Gleeks / Wexford Collegiate School For The Arts,1544,N/A,-1,0
116,Marquis / Diamond Bar High School,1536,N/A,-1,0
117,Ovation! / O'Gorman High School,1535,RUSH / Ralston High School,1422,1
118,West in the Groove / Millard West High School,1534,Infinity / Millard North High School,1568,0
119,Express / Lincoln East High School,1531,Ovation! / O'Gorman High School,1535,0
120,Impulse / Wahlert Catholic High School,1530,Spotlighters / Craig High School,1645,0
121,Aztec Singers / Mark Keppel High School,1530,N/A,-1,0
122,Encore Entertainment Company / Medina High School,1530,Rhythm In Red / Cabell Midland High School,1730,0
123,Royal Stewart Singers / Glendora High School,1528,N/A,-1,0
124,Legacy / Donelson Christian Academy,1527,Ovations / Opelika High School,1456,0
125,Executive Session / Sauk Prairie High School,1524,10th Street Edition / Linn-Mar High School,1635,0
126,Good Time Company / Iowa City West High School,1523,Xhilaration / Xavier High School,1613,0
127,The Association / Van Buren High School,1521,Singers / Lebanon High School,1440,0
128,Hilltoppers / Onalaska High School,1521,The Class Act / Logan High School,1476,0
129,J City Riot / Jefferson City High School,1521,New Score Singers / Smith-Cotton High School,1563,1
130,Spotlight Singers & Company / Brownsburg High School,1519,Fusion / Fairfield Jr/Sr High School,1406,0
131,Surround Sound / Center Grove High School,1513,N/A,-1,0
132,In Step / Linn-Mar High School,1513,N/A,-1,0
133,Company of Singers / Totino-Grace High School,1509,N/A,-1,0
134,Cardinal Singers / Mayville High School,1505,Modulations / El Paso-Gridley High School,1617,2
135,Soundwave / Carthage Senior High School,1505,Oak Street Singers / Oak Park High School,1393,0
136,Visual Volume / Poca High School,1505,Images / Morgantown High School,1475,1
137,Swingsingers / Batavia High School,1502,Magic / Manteno High School,1454,0
138,Charisma / Northrop High School,1500,Classic Connection / DeKalb High School,1629,1
139,General Admission / Winfield High School,1494,First Edition / Lafayette Jefferson High School,1467,0
140,Girls in Heels / Waubonsie Valley High School,1493,N/A,-1,0
141,Keynotes / Olentangy High School,1492,Singers / Lebanon High School,1440,0
142,Momentum / Cedar Rapids Washington High School,1491,Cardinal Singers / Mayville High School,1505,0
143,The Bell System / L.D. Bell High School,1490,Panther Edition / Mabank High School,1400,0
144,Tiger Rhythm / Broken Arrow High School,1489,N/A,-1,0
145,Revolution / Gretna High School,1488,RUSH / Ralston High School,1422,0
146,Voices In Perfection / Capital High School,1487,Visual Volume / Poca High School,1505,1
147,Sudden Impact / Ottumwa High School,1486,InMotion / Mt. Pleasant Community High School,1460,1
148,Treble Threat / St. Peter Catholic High School,1486,N/A,-1,0
149,Dynamo / Notre Dame Regional Secondary,1486,N/A,-1,0
150,CW Glee / Centre Wellington District High School,1486,N/A,-1,0
151,Chanteurs / Arcadia High School,1486,N/A,-1,0
152,Center Stage / Oak Grove High School,1484,Brio / Brandon High School,1402,0
153,G Major / St. George's School of Montreal,1484,N/A,-1,0
154,Soundsations / Petal High School,1484,Imagination / West Jones High School,1408,0
155,High Voltage / Cypress High School,1482,N/A,-1,0
156,Northern Lights / Northridge High School,1481,Esprit / Southwestern Jr/Sr High School,1373,0
157,Pure Elegance / Fairfield Senior High School,1478,N/A,-1,0
158,Showstoppers / Pell City High School,1477,Rhapsody in Blue / Spain Park High School,1426,0
159,The Class Act / Logan High School,1476,Executive Session / Sauk Prairie High School,1524,0
160,Gold / Norris High School,1476,Illumination / Millard North High School,1424,0
161,Perpetual Motion / Ankeny High School,1475,N/A,-1,0
162,Images / Morgantown High School,1475,Choraliers / Edgewood High School,1446,0
163,Panache / Southmont Jr/Sr High School,1474,A New Vision / East Noble High School,1423,0
164,Vocal Velocity / Volcano Vista High School,1470,N/A,-1,0
165,Bridge Street Singers / St. Francis High School,1468,The Headliners / Sioux City East High School,1401,0
166,First Edition / Lafayette Jefferson High School,1467,Magic / Manteno High School,1454,0
167,Reigning Knights / Bishop Luers High School,1467,N/A,-1,0
168,Hi Fidelity / El Paso-Gridley High School,1466,Vocal Rush / Unity High School,1368,0
169,Jefferson Connection / Bloomington Jefferson High School,1465,Hilltoppers / Onalaska High School,1521,0
170,Midwest Express / Holmen High School,1462,Center Stage / Preble High School,1594,1
171,Harding Singers / Marion Harding High School,1461,Center Stage / Milton-Union High School,1402,0
172,InMotion / Mt. Pleasant Community High School,1460,Summit Street Singers / Center Point-Urbana High School,1386,1
173,Rhythm of the Knight / Uniondale High School,1459,N/A,-1,0
174,Orange Sensations / Wayne County High School,1458,Aggie Accents / Forrest County Agricultural High School,1362,0
175,Sugar & Spice / Neosho High School,1458,Encore / Cole Camp High School,1332,0
176,New Era / Churubusco Jr/Sr High School,1457,Brave Generation / Bellmont High School,1394,0
177,Ovations / Opelika High School,1456,Legacy / Donelson Christian Academy,1527,0
178,Tour de Force / Taunton High School,1456,N/A,-1,0
179,Vintage 2013 / Neenah High School,1455,The Class Act / Logan High School,1476,0
180,Magic / Manteno High School,1454,Center Stage / Preble High School,1594,0
181,Nothin' But Treble / Andover High School,1453,N/A,-1,0
182,Satin 'n Lace / Rock Bridge High School,1453,Sugar & Spice / Neosho High School,1458,0
183,Music Express / Garfield Heights High School,1453,N/A,-1,0
