rank,name,elo,bestWin,bestWinElo,GCs
356,Musicale / McNeil High School,1471,N/A,-1,0
357,Synergy / Hamilton High School,1471,Sound Check / Waubonsie Valley High School,1789,1
358,Show Choir / Seaman High School,1470,N/A,-1,0
359,Studio SingersOmaha Northwest High School / undefined,1470,N/A,-1,0
360,Countesses & NoblemenLincoln Southeast High School / undefined,1470,N/A,-1,0
361,New World SingersColumbus High School / undefined,1470,N/A,-1,0
362,Show ChoirSeaman High School / undefined,1470,N/A,-1,0
363,Legacy / MFL MarMac High School,1470,Cloud 9 / Clayton Ridge High School,1248,1
364,Harding Singers / Marion Harding High School,1470,Prestige / Hamilton High School,1544,1
365,ENCORE! / Tantasqua Regional High School,1468,Fantasy / Shepherd Hill Regional High School,1430,0
366,City Lights / Rock Bridge High School,1467,Hillside Singers / Pleasant Hill High School,1591,0
367,Impulse / Wahlert Catholic High School,1467,N/A,-1,0
368,Leading Ladies / Rolling Meadows High School,1466,N/A,-1,0
369,Vintage 2017 / Neenah High School,1464,N/A,-1,0
370,Out Of The Blue / Plattsmouth High School,1464,N/A,-1,0
371,Great Expectations / Twinsburg High School,1464,N/A,-1,0
372,Center Stage / Oak Grove High School,1463,N/A,-1,0
373,Rhapsody / McNeil High School,1463,N/A,-1,0
374,Aviation / Lincoln Northwest High School,1462,N/A,-1,0
375,WD Forté / West Delaware High School,1462,N/A,-1,0
376,Madz / Mechanicsville High School,1461,N/A,-1,0
377,Lights / Mundelein High School,1461,N/A,-1,0
378,Reflections / Duncan High School,1460,N/A,-1,0
379,Premiere / Mt. Zion High School,1460,N/A,-1,0
380,In Step / Linn-Mar High School,1459,Simply Irresistible / Westside High School,1582,0
381,Tiger Pizazz / Lawrenceburg High School,1459,N/A,-1,0
382,Jubilaires / Beech Grove High School,1458,N/A,-1,0
383,Panache / Southmont Jr/Sr High School,1458,N/A,-1,0
384,La Voce Ballo / Bemidji High School,1458,N/A,-1,0
385,Femmes Fatales / Plainfield High School,1457,N/A,-1,0
386,OnStage / John Hersey High School,1457,N/A,-1,0
387,Hillside Singers / Pleasant Hill High School,1457,Classic Blend / Blue Valley High School,1500,0
388,Satisfaction / Sioux Center High School,1456,Revelry / Sioux Falls Jefferson High School,1437,0
389,Applause / Appling County High School,1456,N/A,-1,0
390,Illumination / Millard North High School,1455,N/A,-1,0
391,Elite Energy / Decatur Show Choir Complex,1454,N/A,-1,0
392,Class Act / Grove City High School,1453,Vocal Motion / Bradley Central High School,1516,0
393,Chamber Choir / Hoover High School,1452,N/A,-1,0
394,Center Stage / Preble High School,1452,Company of Singers / Totino-Grace High School,1782,0
395,Charisma / Northrop High School,1452,Singers Unlimited / Anderson High School,1500,0
396,Fortissimo / Frankfort High School,1451,N/A,-1,0
397,Innovations / Princeton Community High School,1451,N/A,-1,0
398,Star Struck / Bedford-North Lawrence High School,1451,N/A,-1,0
399,Encore / Madison East High School,1451,N/A,-1,0
400,Soundsations / Texas City High School,1451,N/A,-1,0
401,South High Street Singers / Fort Atkinson High School,1450,Express / Dwight D. Eisenhower High School,1471,0
402,You've Got Male / Mt. Zion High School,1450,N/A,-1,0
403,Sweet Revelation / Grand Island Senior High School,1450,N/A,-1,0
404,Cardinal & Black Singers / Harvard High School,1449,N/A,-1,0
405,Pulse / Forest City High School,1448,N/A,-1,0
406,Royalty / Wahoo High School,1448,Chain Reaction / Lincoln High School,1500,0
407,Touch of Swing / Manchester High School,1448,City Lights / Midlothian High School,1500,0
408,18th Street Singers / Ord Jr/Sr High School,1447,N/A,-1,0
409,Vocal Pointe / Columbus North High School,1445,Music Warehouse / Edgewood High School,1594,1
410,Mountain Melodies / Fruita Monument High School,1445,N/A,-1,0
411,Heritage Singers / Franklin Community High School,1445,N/A,-1,0
412,Good Times / Martinsburg High School,1445,N/A,-1,0
413,Swingsations / Carroll High School,1444,N/A,-1,0
414,Pure Elegance / Fairfield Senior High School,1444,N/A,-1,0
415,Vocal Motion / Strike It Up Artistic Center,1443,N/A,-1,0
416,Vivace / Skutt Catholic High School,1442,N/A,-1,0
417,Singers / Vestavia Hills High School,1442,Reveillon / Jackson Preparatory School,1644,0
418,Faces / Crete-Monee High School,1442,N/A,-1,0
419,The Chanticleers / Shaker Heights High School,1442,N/A,-1,0
420,Phenomenon / Neosho High School,1442,Sugar & Spice / Neosho High School,1500,0
421,Northern Lights / Northridge High School,1441,Class Royale / Homestead High School,1533,0
422,Treblemakers / Mercy High School,1440,N/A,-1,0
423,Vintage 2015 / Neenah High School,1440,N/A,-1,0
424,Soundsations / Learning Foundation Performing Arts Charter School,1440,N/A,-1,0
425,Connections / Lincoln High School,1440,N/A,-1,0
426,Connection / Warren Central High School,1440,N/A,-1,0
427,Ridgetop Revolution / Cashton Middle/High School,1440,N/A,-1,0
428,Eagle Show Choir / Flat Rock Middle School,1440,N/A,-1,0
429,Powerhouse / Scottsbluff High School,1440,N/A,-1,0
430,Intensity / Ankeny High School,1439,N/A,-1,0
431,Classic Connection / DeKalb High School,1439,Starliters / Anderson High School,1500,0
432,Esprit / Enterprise High School,1439,N/A,-1,0
433,Bella Voce / Johnston High School,1439,N/A,-1,0
434,Out Of The Blue / Chelsea High School,1438,N/A,-1,0
